도매시장코드,도매시장명,법인코드,도매법인명,대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명
110001,서울가락도매,11000101,서울청과,5,서류,501,감자,50101,수미
110001,서울가락도매,11000101,서울청과,5,서류,501,감자,50199,기타
110001,서울가락도매,11000101,서울청과,5,서류,502,고구마,50204,호박고구마
110001,서울가락도매,11000101,서울청과,5,서류,502,고구마,50299,기타
110001,서울가락도매,11000101,서울청과,6,과실류,601,사과,60103,후지
110001,서울가락도매,11000101,서울청과,6,과실류,601,사과,60199,기타
110001,서울가락도매,11000101,서울청과,6,과실류,602,배,60201,신고
110001,서울가락도매,11000101,서울청과,6,과실류,603,포도,60399,기타
110001,서울가락도매,11000101,서울청과,6,과실류,605,단감,60501,부유
110001,서울가락도매,11000101,서울청과,6,과실류,611,참다래(키위),61103,그린
110001,서울가락도매,11000101,서울청과,6,과실류,612,바나나,61201,바나나(일반)
110001,서울가락도매,11000101,서울청과,6,과실류,612,바나나,61202,몽키
110001,서울가락도매,11000101,서울청과,6,과실류,613,파인애플,61301,파인애플(일반)
110001,서울가락도매,11000101,서울청과,6,과실류,614,감귤,61407,천헤향
110001,서울가락도매,11000101,서울청과,6,과실류,614,감귤,61499,기타
110001,서울가락도매,11000101,서울청과,6,과실류,615,만감,61504,한라봉
110001,서울가락도매,11000101,서울청과,6,과실류,615,만감,61506,진지향
110001,서울가락도매,11000101,서울청과,6,과실류,617,레몬,61701,레몬(일반)
110001,서울가락도매,11000101,서울청과,6,과실류,618,오렌지,61897,네블(수입)
110001,서울가락도매,11000101,서울청과,6,과실류,619,그레이프푸룻(자몽),61999,기타
110001,서울가락도매,11000101,서울청과,6,과실류,621,금감,62101,금감(일반)
110001,서울가락도매,11000101,서울청과,6,과실류,634,아보카도,63401,아보카도(일반)
110001,서울가락도매,11000101,서울청과,6,과실류,699,기타,69999,기타
110001,서울가락도매,11000101,서울청과,8,과일과채류,801,수박,80114,수박(일반)(꼭지절단)
110001,서울가락도매,11000101,서울청과,8,과일과채류,802,참외,80299,기타
110001,서울가락도매,11000101,서울청과,8,과일과채류,803,토마토,80301,토마토(일반)
110001,서울가락도매,11000101,서울청과,8,과일과채류,803,토마토,80399,기타
110001,서울가락도매,11000101,서울청과,8,과일과채류,804,딸기,80406,장희
110001,서울가락도매,11000101,서울청과,8,과일과채류,804,딸기,80408,육보
110001,서울가락도매,11000101,서울청과,8,과일과채류,804,딸기,80409,산딸기
110001,서울가락도매,11000101,서울청과,8,과일과채류,804,딸기,80411,매향
110001,서울가락도매,11000101,서울청과,8,과일과채류,804,딸기,80413,설향
110001,서울가락도매,11000101,서울청과,8,과일과채류,804,딸기,80424,죽향
